0,"[80, 81, 82, 83, 84, 85, 91, 163, 165, 205, 206, 209, 211, 217, 228, 233, 236, 240, 253, 265, 274, 277, 278, 279, 280, 293, 298, 299, 303, 310, 316, 322, 323, 329, 333, 334, 338, 346, 349, 356, 357, 380, 385, 386, 387, 393, 399, 430, 449, 460, 503, 504, 506, 515, 524, 525, 526, 527, 531, 537, 546, 547, 556, 562, 564, 571, 573, 575, 577, 584, 585, 593, 594, 595, 598, 602, 624, 651, 662, 663, 666, 682, 683, 700, 701, 710, 711, 724, 726, 727, 764, 782, 813, 814, 816, 817, 834, 835, 853, 854, 855, 864, 874, 876, 877, 901, 902, 905, 912, 923, 926, 927, 947, 964, 984, 985, 986, 987, 1058, 1059, 1060, 1077, 1078, 1096, 1138, 1139, 1140, 1181, 1221, 1222, 1258, 1265, 1268, 1323, 1434, 1436, 1487, 1498, 1699, 1708, 1722, 1734, 1740, 1741, 1899, 1921, 1936, 1949, 1967, 1997, 2024, 2045, 2054, 2069, 2124, 2127, 2136, 2147, 2148, 2193, 2196, 2211, 2214, 2227, 2229, 2243, 2254, 2265, 2366, 2368, 2477, 2478, 2479, 2489, 2511, 2589, 2602, 2620, 2667, 2668, 2767, 2777, 2792, 2793, 2811, 2813, 2815, 2816, 2820, 2821, 2831, 2832, 2833, 2834, 2850, 2856, 2857, 2858, 2867, 2878, 2879, 2880, 2888, 2889, 2896, 2898, 2901, 2903, 2904, 2905, 2906, 2907, 2956, 2977, 2979, 3000, 3004, 3012, 3015, 3041, 3045, 3049, 3056, 3068, 3069, 3070, 3071, 3074, 3076, 3087, 3088, 3093, 3097, 3098, 3113, 3130, 3131, 3134, 3142, 3148, 3162, 3163, 3164, 3170, 3171, 3172, 3176, 3183, 3191, 3192, 3194, 3195, 3206, 3208, 3209, 3210, 3219, 3220, 3223, 3224, 3227, 3262, 3264, 3281, 3282, 3295, 3310, 3348, 3350, 3356, 3435, 3494, 3526, 3533, 3537, 3539, 3541, 3549, 3552, 3584, 3608, 3611, 3633, 3636, 3639, 3686, 3710, 3771, 3775, 3776, 3777, 3779, 3785, 3837, 3848, 3850, 3857, 3874, 3886, 3912, 3944, 3990, 3996, 4002, 4053, 4054, 4081, 4101, 4170, 4191, 4205, 4217, 4261, 4267, 4290, 4299, 4304, 4309, 4311, 4312, 4319, 4359, 4367, 4369, 4374, 4376, 4389, 4415, 4443, 4463, 4468, 4469, 4477, 4480, 4489, 4535, 4544, 4548, 4620, 4621, 4622, 4630, 4634, 4636, 4656, 4676, 4689, 4693, 4719, 4741, 4742, 4752, 4770, 4775, 4778, 4783, 4787, 4798, 4818, 4824, 4841, 4850, 4852, 4864, 4888, 4895, 4917, 4939, 4961, 4984, 5005, 5012, 5025]"
1,"[168, 173, 177, 181, 185, 191, 192, 196, 199, 201, 203, 207, 208, 212, 213, 216, 218, 219, 220, 221, 223, 224, 225, 226, 235, 238, 243, 248, 250, 251, 255, 256, 257, 259, 262, 263, 267, 268, 269, 271, 272, 273, 275, 276, 292, 296, 302, 306, 308, 312, 313, 318, 319, 324, 325, 330, 331, 335, 339, 342, 343, 345, 347, 348, 350, 351, 352, 353, 354, 358, 359, 360, 361, 362, 364, 366, 367, 368, 369, 372, 376, 377, 378, 381, 382, 383, 384, 388, 389, 390, 391, 394, 395, 396, 397, 398, 400, 401, 402, 403, 405, 406, 408, 409, 414, 415, 416, 417, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 432, 433, 434, 435, 436, 437, 442, 443, 444, 445, 450, 451, 452, 453, 454, 455, 458, 461, 462, 463, 464, 465, 466, 467, 471, 472, 473, 474, 475, 480, 482, 483, 484, 485, 486, 487, 488, 490, 492, 494, 495, 496, 497, 498, 499, 500, 502, 507, 508, 509, 510, 511, 512, 514, 518, 519, 520, 521, 522, 529, 532, 533, 534, 540, 543, 544, 545, 549, 551, 557, 558, 559, 560, 561, 567, 568, 569, 579, 580, 581, 582, 590, 591, 592, 596, 600, 601, 611, 621, 622, 625, 633, 634, 636, 637, 644, 645, 646, 647, 648, 649, 650, 652, 655, 656, 657, 658, 659, 660, 668, 669, 670, 671, 672, 673, 674, 676, 686, 688, 689, 690, 691, 692, 693, 694, 695, 697, 698, 713, 714, 715, 716, 717, 719, 720, 744, 745, 746, 747, 748, 749, 750, 751, 752, 753, 763, 773, 774, 775, 776, 781, 788, 789, 790, 811, 812, 819, 843, 846, 866, 868, 870, 871, 872, 886, 887, 888, 890, 891, 892, 895, 896, 897, 909, 910, 911, 914, 915, 916, 917, 918, 919, 920, 936, 937, 938, 939, 940, 941, 943, 944, 950, 951, 952, 956, 957, 959, 961, 962, 968, 969, 970, 971, 973, 974, 975, 977, 978, 980, 988, 989, 990, 991, 1046, 1047, 1048, 1049, 1050, 1052, 1053, 1061, 1062, 1063, 1064, 1065, 1068, 1069, 1070, 1072, 1075, 1080, 1081, 1082, 1083, 1084, 1086, 1087, 1088, 1089, 1092, 1095, 1097, 1098, 1099, 1100, 1104, 1105, 1106, 1107, 1108, 1109, 1112, 1137, 1145, 1146, 1147, 1160, 1169, 1176, 1177, 1178, 1180, 1186, 1193, 1194, 1205, 1206, 1215, 1216, 1219, 1220, 1223, 1227, 1232, 1233, 1234, 1235, 1237, 1238, 1241, 1243, 1244, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1259, 1260, 1262, 1263, 1269, 1270, 1271, 1272, 1278, 1281, 1290, 1291, 1292, 1293, 1294, 1295, 1296, 1299, 1300, 1301, 1302, 1303, 1304, 1311, 1312, 1313, 1316, 1317, 1319, 1320, 1322, 1324, 1325, 1326, 1327, 1328, 1329, 1332, 1333, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1344, 1345, 1346, 1347, 1353, 1354, 1355, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1386, 1391, 1392, 1393, 1409, 1410, 1411, 1415, 1416, 1417, 1418, 1419, 1425, 1426, 1428, 1429, 1432, 1433, 1442, 1448, 1449, 1457, 1466, 1480, 1490, 1492, 1494, 1495, 1500, 1501, 1505, 1507, 1508, 1509, 1510, 1511, 1512, 1513, 1514, 1515, 1516, 1517, 1518, 1525, 1526, 1535, 1537, 1541, 1542, 1550, 1558, 1560, 1574, 1576, 1580, 1581, 1588, 1591, 1593, 1599, 1613, 1614, 1616, 1617, 1619, 1622, 1627, 1632, 1633, 1634, 1639, 1640, 1647, 1653, 1657, 1660, 1663, 1668, 1670, 1675, 1677, 1680, 1684, 1686, 1693, 1701, 1703, 1709, 1712, 1716, 1717, 1719, 1721, 1726, 1730, 1732, 1739, 1756, 1761, 1765, 1767, 1770, 1772, 1778, 1780, 1781, 1782, 1783, 1800, 1801, 1803, 1804, 1806, 1811, 1812, 1819, 1820, 1821, 1827, 1831, 1834, 1835, 1837, 1841, 1842, 1843, 1846, 1858, 1859, 1862, 1871, 1876, 1880, 1900, 1919, 1920, 1922, 1942, 1955, 1957, 1960, 1965, 1968, 1990, 1992, 1995, 1998, 1999, 2003, 2023, 2026, 2029, 2030, 2036, 2044, 2046, 2050, 2052, 2053, 2062, 2067, 2071, 2080, 2081, 2083, 2087, 2089, 2092, 2094, 2098, 2100, 2102, 2104, 2105, 2113, 2116, 2122, 2125, 2131, 2135, 2138, 2145, 2156, 2157, 2158, 2159, 2160, 2161, 2167, 2184, 2185, 2188, 2192, 2194, 2197, 2204, 2210, 2218, 2223, 2224, 2226, 2228, 2231, 2235, 2236, 2238, 2239, 2251, 2257, 2264, 2270, 2273, 2274, 2277, 2285, 2296, 2299, 2301, 2307, 2314, 2351, 2354, 2358, 2359, 2379, 2392, 2410, 2411, 2417, 2418, 2432, 2433, 2435, 2444, 2463, 2464, 2485, 2516, 2536, 2557, 2576, 2596, 2599, 2603, 2610, 2656, 2660, 2663, 2671, 2679, 2686, 2698, 2712, 2723, 2773, 2780, 2797, 2818, 2861, 2862, 2873, 2876, 2877, 2884, 2887, 2964, 2993, 3008, 3036, 3161, 3165, 3180, 3181, 3387, 3410, 3443, 3484, 3489, 3513, 3621, 3677, 3728, 3739, 3743, 3781, 3898, 3968, 4004, 4061, 4126, 4127, 4232, 4404, 4412, 4448, 4483, 4509, 4520, 4610, 4616, 4646, 4657, 4716, 4765, 4870, 4886, 4963, 4966, 4987, 5018, 5042]"
2,"[61, 68, 74, 94, 147, 171, 178, 179, 183, 237, 245, 327, 355, 373, 374, 404, 418, 429, 439, 447, 477, 505, 555, 566, 589, 597, 613, 618, 654, 664, 667, 679, 680, 685, 702, 704, 722, 723, 729, 731, 738, 754, 755, 757, 758, 765, 778, 779, 780, 791, 792, 793, 794, 795, 796, 797, 798, 799, 800, 801, 803, 805, 815, 821, 824, 825, 827, 828, 832, 833, 837, 839, 844, 847, 849, 850, 857, 858, 859, 860, 865, 867, 869, 875, 878, 882, 883, 884, 885, 893, 908, 934, 935, 966, 1051, 1091, 1093, 1101, 1144, 1161, 1202, 1211, 1226, 1242, 1257, 1264, 1305, 1348, 1430, 1437, 1440, 1441, 1451, 1454, 1455, 1456, 1483, 1506, 1530, 1534, 1552, 1562, 1563, 1566, 1589, 1597, 1603, 1606, 1611, 1643, 1650, 1669, 1690, 1702, 1711, 1723, 1742, 1760, 1766, 1779, 1791, 1799, 1807, 1808, 1816, 1833, 1860, 1870, 1874, 1951, 1956, 1959, 1961, 2004, 2031, 2043, 2063, 2079, 2084, 2085, 2090, 2091, 2099, 2101, 2114, 2115, 2119, 2139, 2141, 2149, 2155, 2181, 2189, 2212, 2222, 2225, 2237, 2241, 2250, 2255, 2260, 2271, 2275, 2279, 2286, 2304, 2305, 2306, 2318, 2328, 2330, 2338, 2340, 2341, 2344, 2345, 2346, 2349, 2367, 2381, 2386, 2390, 2397, 2404, 2405, 2415, 2420, 2424, 2430, 2437, 2453, 2462, 2466, 2476, 2488, 2519, 2522, 2540, 2546, 2549, 2556, 2574, 2581, 2600, 2605, 2616, 2619, 2621, 2629, 2630, 2634, 2639, 2645, 2661, 2669, 2670, 2689, 2693, 2699, 2753, 2756, 2775, 2791, 2814, 2864, 2865, 2870, 2922, 2946, 2955, 2960, 2961, 2969, 2973, 2985, 2991, 2992, 3006, 3007, 3013, 3014, 3016, 3040, 3046, 3050, 3051, 3053, 3072, 3079, 3080, 3096, 3099, 3105, 3107, 3114, 3115, 3119, 3120, 3121, 3122, 3124, 3128, 3129, 3132, 3152, 3167, 3168, 3177, 3199, 3204, 3205, 3211, 3212, 3213, 3217, 3218, 3229, 3233, 3237, 3238, 3263, 3272, 3275, 3291, 3293, 3314, 3315, 3319, 3324, 3362, 3365, 3368, 3377, 3389, 3398, 3433, 3436, 3439, 3440, 3442, 3444, 3448, 3449, 3465, 3470, 3472, 3475, 3476, 3483, 3488, 3490, 3491, 3492, 3493, 3497, 3499, 3501, 3510, 3515, 3516, 3519, 3520, 3522, 3530, 3531, 3535, 3536, 3543, 3544, 3545, 3550, 3567, 3570, 3571, 3578, 3579, 3581, 3586, 3588, 3590, 3592, 3598, 3599, 3600, 3606, 3607, 3616, 3617, 3623, 3630, 3652, 3653, 3655, 3670, 3683, 3685, 3688, 3692, 3713, 3723, 3724, 3729, 3742, 3748, 3754, 3765, 3826, 3835, 3836, 3839, 3845, 3849, 3852, 3855, 3859, 3863, 3868, 3870, 3872, 3875, 3876, 3877, 3879, 3881, 3888, 3893, 3916, 3923, 3943, 3945, 3946, 3956, 3962, 3976, 3987, 3992, 4010, 4018, 4032, 4034, 4047, 4057, 4063, 4065, 4066, 4073, 4077, 4080, 4085, 4086, 4089, 4090, 4099, 4108, 4109, 4113, 4121, 4123, 4128, 4133, 4134, 4138, 4141, 4143, 4151, 4158, 4160, 4164, 4165, 4175, 4176, 4185, 4190, 4213, 4220, 4224, 4228, 4230, 4231, 4236, 4238, 4243, 4246, 4247, 4248, 4249, 4251, 4254, 4258, 4259, 4266, 4268, 4273, 4275, 4279, 4280, 4282, 4283, 4285, 4288, 4292, 4295, 4296, 4297, 4303, 4314, 4315, 4320, 4322, 4323, 4324, 4325, 4329, 4332, 4346, 4347, 4348, 4352, 4360, 4364, 4368, 4371, 4372, 4373, 4381, 4383, 4384, 4386, 4390, 4392, 4400, 4406, 4410, 4417, 4418, 4420, 4425, 4427, 4432, 4433, 4436, 4437, 4442, 4456, 4457, 4458, 4461, 4467, 4470, 4471, 4473, 4475, 4481, 4482, 4484, 4487, 4490, 4495, 4496, 4497, 4498, 4502, 4508, 4511, 4512, 4514, 4517, 4523, 4525, 4527, 4530, 4531, 4532, 4533, 4534, 4536, 4537, 4538, 4541, 4550, 4553, 4556, 4557, 4560, 4565, 4568, 4569, 4571, 4574, 4575, 4577, 4578, 4579, 4583, 4594, 4596, 4597, 4598, 4599, 4600, 4601, 4608, 4609, 4611, 4612, 4614, 4615, 4617, 4623, 4624, 4625, 4629, 4632, 4643, 4645, 4647, 4650, 4655, 4662, 4666, 4667, 4672, 4674, 4681, 4684, 4685, 4686, 4692, 4694, 4703, 4705, 4721, 4723, 4732, 4736, 4743, 4744, 4748, 4749, 4751, 4753, 4755, 4756, 4758, 4760, 4764, 4768, 4769, 4777, 4786, 4789, 4793, 4797, 4799, 4806, 4815, 4825, 4827, 4838, 4839, 4849, 4854, 4860, 4866, 4871, 4875, 4889, 4896, 4903, 4906, 4908, 4909, 4911, 4916, 4919, 4920, 4929, 4934, 4942, 4944, 4953, 4955, 4956, 4957, 4959, 4964, 4968, 4970, 4972, 4979, 4982, 4989, 4991, 4994, 4997, 5006, 5008, 5009, 5015, 5019, 5021, 5023, 5029, 5031, 5032, 5034, 5035, 5039, 5043, 5045]"
3,"[70, 140, 158, 169, 174, 234, 241, 254, 258, 261, 266, 270, 371, 413, 481, 570, 588, 629, 630, 642, 735, 736, 760, 786, 826, 836, 842, 851, 863, 880, 881, 925, 942, 1079, 1085, 1102, 1435, 1482, 1485, 1531, 1615, 1672, 1681, 1682, 1685, 1692, 1696, 1697, 1698, 1773, 1802, 1828, 1881, 1898, 1994, 2015, 2021, 2025, 2028, 2032, 2037, 2244, 2261, 2353, 2362, 2387, 2412, 2419, 2452, 2461, 2510, 2523, 2524, 2533, 2545, 2547, 2559, 2563, 2564, 2565, 2568, 2569, 2571, 2572, 2573, 2577, 2582, 2583, 2584, 2586, 2593, 2601, 2607, 2608, 2612, 2625, 2643, 2646, 2649, 2650, 2652, 2657, 2658, 2659, 2664, 2665, 2666, 2691, 2694, 2701, 2714, 2718, 2722, 2724, 2735, 2736, 2737, 2738, 2739, 2740, 2741, 2742, 2743, 2744, 2745, 2746, 2747, 2750, 2752, 2754, 2757, 2758, 2759, 2760, 2761, 2762, 2764, 2765, 2776, 2785, 2786, 2787, 2788, 2789, 2790, 2798, 2800, 2804, 2805, 2819, 2822, 2825, 2826, 2827, 2828, 2829, 2830, 2835, 2837, 2839, 2840, 2841, 2849, 2853, 2863, 2868, 2869, 2871, 2890, 2891, 2892, 2893, 2895, 2918, 2920, 2923, 2948, 2951, 2957, 2965, 2966, 2970, 2971, 2974, 2976, 2983, 2984, 2987, 2995, 2996, 2999, 3001, 3002, 3003, 3010, 3018, 3032, 3044, 3058, 3059, 3061, 3062, 3065, 3085, 3090, 3091, 3095, 3100, 3101, 3102, 3104, 3109, 3110, 3116, 3118, 3125, 3127, 3136, 3137, 3140, 3145, 3150, 3153, 3154, 3157, 3166, 3174, 3184, 3187, 3193, 3197, 3200, 3201, 3207, 3215, 3216, 3234, 3236, 3245, 3246, 3273, 3274, 3283, 3290, 3292, 3296, 3299, 3303, 3305, 3306, 3316, 3317, 3318, 3320, 3340, 3341, 3342, 3343, 3349, 3354, 3355, 3357, 3358, 3390, 3394, 3395, 3396, 3400, 3401, 3414, 3421, 3422, 3428, 3429, 3431, 3434, 3455, 3459, 3466, 3467, 3502, 3503, 3506, 3507, 3511, 3512, 3514, 3523, 3524, 3532, 3540, 3553, 3557, 3558, 3568, 3573, 3574, 3575, 3583, 3589, 3629, 3634, 3667, 3668, 3680, 3689, 3691, 3700, 3701, 3708, 3718, 3720, 3747, 3772, 3773, 3774, 3801, 3804, 3806, 3809, 3810, 3811, 3816, 3819, 3860, 3887, 3909, 3910, 3911, 3917, 3921, 3931, 3932, 3953, 3954, 3965, 3975, 3980, 3981, 3994, 3997, 4006, 4007, 4013, 4014, 4019, 4043, 4093, 4100, 4105, 4112, 4137, 4146, 4150, 4154, 4156, 4161, 4186, 4189, 4206, 4212, 4252, 4278, 4350, 4370, 4387, 4391, 4394, 4419, 4422, 4426, 4451, 4494, 4500, 4507, 4524, 4539, 4559, 4562, 4580, 4604, 4626, 4633, 4651, 4673, 4675, 4680, 4682, 4697, 4702, 4727, 4728, 4729, 4733, 4745, 4762, 4767, 4802, 4807, 4819, 4828, 4844, 4853, 4855, 4856, 4857, 4863, 4873, 4876, 4893, 4907, 4925, 4937, 4945, 4950, 4958, 4973, 4978, 5001, 5038, 5046]"
4,"[23, 79, 106, 231, 317, 336, 412, 469, 530, 536, 539, 542, 565, 604, 606, 607, 681, 709, 730, 742, 808, 873, 982, 1054, 1055, 1056, 1110, 1173, 1406, 1559, 1575, 1607, 1626, 1652, 1676, 1854, 2051, 2072, 2269, 2298, 2374, 2376, 2401, 2409, 2422, 2447, 2455, 2465, 2493, 2494, 2530, 2539, 2590, 2594, 2595, 2623, 2631, 2635, 2654, 2688, 2695, 2702, 2707, 2751, 2924, 2972, 3078, 3086, 3094, 3103, 3149, 3173, 3188, 3222, 3257, 3284, 3294, 3359, 3388, 3391, 3403, 3437, 3474, 3495, 3518, 3562, 3563, 3564, 3576, 3618, 3632, 3645, 3650, 3682, 3703, 3734, 3745, 3788, 3795, 3805, 3827, 3833, 3846, 3861, 3862, 3880, 3884, 3914, 3918, 3927, 3929, 3941, 3952, 3958, 3959, 3964, 3971, 3985, 3988, 4003, 4009, 4015, 4026, 4037, 4040, 4042, 4051, 4052, 4055, 4062, 4064, 4068, 4069, 4075, 4082, 4132, 4149, 4152, 4157, 4172, 4178, 4198, 4199, 4208, 4216, 4225, 4227, 4233, 4239, 4240, 4262, 4270, 4272, 4276, 4298, 4302, 4305, 4321, 4326, 4365, 4366, 4388, 4397, 4398, 4401, 4421, 4423, 4435, 4439, 4447, 4449, 4472, 4474, 4478, 4485, 4499, 4510, 4542, 4547, 4551, 4554, 4558, 4563, 4567, 4570, 4635, 4663, 4683, 4688, 4701, 4706, 4713, 4725, 4726, 4731, 4761, 4763, 4771, 4784, 4811, 4813, 4823, 4836, 4843, 4848, 4851, 4884, 4885, 4887, 4892, 4894, 4905, 4915, 4922, 4940, 4947, 4952, 4967, 4969, 4981, 5000, 5004, 5007, 5011, 5020, 5026, 5036, 5037, 5040, 5041]"
5,"[98, 99, 101, 102, 103, 110, 112, 113, 114, 115, 116, 122, 123, 125, 143, 144, 148, 149, 151, 153, 154, 155, 172, 175, 176, 182, 186, 187, 190, 193, 194, 195, 197, 198, 202, 210, 227, 232, 239, 249, 252, 260, 287, 288, 295, 337, 375, 379, 407, 431, 438, 440, 441, 446, 456, 470, 478, 491, 554, 574, 576, 578, 603, 605, 608, 609, 614, 619, 620, 638, 643, 665, 684, 687, 707, 734, 737, 740, 743, 762, 769, 777, 829, 894, 904, 906, 907, 913, 924, 928, 930, 931, 932, 933, 946, 955, 965, 1179, 1182, 1195, 1224, 1309, 1321, 1330, 1390, 1407, 1460, 1461, 1462, 1484, 1504, 1538, 1540, 1555, 1557, 1561, 1573, 1577, 1671, 1729, 1793, 1908, 1970, 1971, 1984, 1993, 2215, 2240, 2248, 2249, 2252, 2263, 2319, 2365, 2389, 2395, 2398, 2400, 2414, 2425, 2438, 2486, 2525, 2526, 2529, 2554, 2636, 2637, 2638, 2648, 2662, 2673, 2683, 2684, 2685, 2690, 2696, 2703, 2704, 2708, 2717, 2719, 2748, 2749, 2769, 2772, 2781, 2782, 2783, 2784, 2796, 2799, 2874, 2883, 2967, 2975, 2988, 2994, 3005, 3020, 3054, 3055, 3081, 3089, 3111, 3133, 3141, 3169, 3186, 3196, 3231, 3235, 3304, 3339, 3345, 3346, 3352, 3386, 3399, 3409, 3411, 3446, 3458, 3468, 3471, 3487, 3496, 3517, 3542, 3548, 3551, 3556, 3559, 3569, 3572, 3591, 3594, 3601, 3624, 3631, 3642, 3647, 3659, 3673, 3679, 3681, 3706, 3782, 3800, 3817, 3856, 3858, 3869, 3922, 3957, 3960, 3961, 3973, 3974, 3977, 3978, 3982, 3983, 3986, 3991, 3993, 4022, 4024, 4025, 4028, 4029, 4035, 4036, 4038, 4039, 4041, 4046, 4048, 4049, 4091, 4092, 4116, 4142, 4144, 4214, 4237, 4277, 4318, 4331, 4349, 4351, 4408, 4429, 4504, 4515, 4526, 4555, 4572, 4573, 4602, 4637, 4665, 4679, 4691, 4696, 4704, 4711, 4720, 4722, 4724, 4730, 4735, 4738, 4746, 4754, 4757, 4772, 4774, 4780, 4781, 4788, 4790, 4792, 4805, 4812, 4845, 4858, 4874, 4877, 4899, 4900, 4904, 4910, 4921, 4933, 4935, 4941, 4948, 4949, 4977, 4986, 4988, 4993, 4998, 5010, 5024, 5028, 5030]"
6,"[78, 86, 229, 246, 282, 300, 304, 363, 448, 476, 517, 528, 541, 599, 610, 615, 616, 626, 640, 653, 661, 677, 696, 706, 708, 712, 718, 768, 771, 772, 784, 809, 921, 945, 963, 983, 1076, 1094, 1111, 1201, 1207, 1267, 1389, 1408, 1424, 1463, 1536, 1551, 1583, 1618, 1651, 1655, 1666, 1731, 1746, 1790, 1818, 2022, 2042, 2059, 2066, 2103, 2118, 2232, 2258, 2272, 2297, 2302, 2335, 2347, 2357, 2360, 2388, 2393, 2394, 2399, 2434, 2436, 2484, 2491, 2492, 2508, 2521, 2528, 2555, 2562, 2566, 2606, 2622, 2628, 2692, 2715, 2755, 2881, 2911, 2915, 2916, 2949, 2954, 2968, 3024, 3031, 3060, 3112, 3126, 3247, 3270, 3289, 3313, 3332, 3404, 3447, 3485, 3504, 3538, 3593, 3609, 3610, 3615, 3619, 3625, 3641, 3654, 3664, 3669, 3674, 3699, 3702, 3714, 3716, 3722, 3725, 3727, 3744, 3746, 3787, 3791, 3794, 3796, 3812, 3824, 3832, 3834, 3838, 3841, 3844, 3854, 3866, 3867, 3878, 3882, 3899, 3900, 3901, 3913, 3915, 3933, 3934, 3942, 3963, 3998, 3999, 4001, 4027, 4056, 4067, 4071, 4074, 4096, 4104, 4107, 4111, 4119, 4120, 4122, 4131, 4135, 4136, 4139, 4145, 4148, 4153, 4159, 4168, 4173, 4181, 4183, 4184, 4187, 4188, 4221, 4222, 4226, 4229, 4235, 4244, 4253, 4257, 4263, 4286, 4291, 4293, 4308, 4316, 4327, 4353, 4363, 4377, 4379, 4382, 4393, 4405, 4413, 4430, 4434, 4446, 4454, 4459, 4493, 4501, 4503, 4516, 4543, 4546, 4561, 4564, 4576, 4605, 4607, 4642, 4653, 4654, 4668, 4677, 4695, 4712, 4747, 4750, 4759, 4773, 4779, 4782, 4794, 4795, 4808, 4809, 4820, 4846, 4847, 4859, 4869, 4878, 4914, 4923, 4943, 4951, 4960, 4965, 4974, 4975, 4985, 4992, 4996, 5003, 5014, 5022, 5033]"
7,"[1885, 2339, 2460, 2467, 2483, 2515]"
8,"[24, 66, 67, 72, 77, 87, 90, 92, 167, 170, 222, 230, 242, 244, 247, 264, 283, 284, 285, 305, 311, 314, 320, 326, 332, 341, 344, 365, 370, 392, 411, 550, 552, 553, 583, 587, 617, 623, 631, 632, 678, 699, 705, 725, 739, 761, 766, 767, 770, 785, 802, 804, 822, 823, 830, 831, 841, 845, 848, 861, 862, 889, 953, 954, 958, 960, 972, 976, 979, 981, 1073, 1074, 1090, 1119, 1200, 1266, 1387, 1452, 1453, 1493, 1532, 1539, 1612, 1625, 1628, 1631, 1635, 1636, 1637, 1638, 1656, 1727, 1733, 1759, 1762, 1794, 1810, 1832, 1840, 1853, 1863, 1865, 1882, 1889, 1890, 1910, 1912, 1914, 1915, 1917, 1925, 1934, 1935, 1937, 1940, 1941, 1962, 1976, 1981, 2006, 2017, 2020, 2033, 2038, 2040, 2057, 2058, 2070, 2107, 2140, 2142, 2154, 2178, 2183, 2187, 2190, 2191, 2195, 2216, 2219, 2220, 2221, 2230, 2234, 2283, 2291, 2292, 2293, 2294, 2308, 2313, 2317, 2325, 2326, 2327, 2336, 2343, 2348, 2363, 2380, 2442, 2443, 2446, 2454, 2469, 2482, 2490, 2495, 2496, 2497, 2512, 2513, 2518, 2520, 2527, 2531, 2532, 2534, 2538, 2542, 2543, 2548, 2550, 2551, 2553, 2558, 2560, 2561, 2570, 2575, 2587, 2611, 2617, 2618, 2624, 2626, 2627, 2632, 2633, 2640, 2641, 2651, 2655, 2672, 2674, 2680, 2681, 2682, 2687, 2700, 2706, 2710, 2711, 2713, 2720, 2768, 2852, 2854, 2855, 2866, 2875, 2885, 2886, 2894, 2897, 2950, 2953, 2978, 2980, 2981, 2982, 2990, 2998, 3011, 3019, 3021, 3022, 3023, 3025, 3028, 3033, 3037, 3039, 3042, 3043, 3048, 3052, 3066, 3067, 3073, 3077, 3135, 3143, 3144, 3146, 3151, 3158, 3160, 3182, 3189, 3214, 3221, 3225, 3226, 3232, 3258, 3259, 3261, 3285, 3286, 3287, 3300, 3301, 3308, 3309, 3322, 3323, 3338, 3344, 3347, 3351, 3360, 3374, 3397, 3408, 3412, 3416, 3423, 3425, 3426, 3427, 3430, 3438, 3441, 3452, 3453, 3454, 3456, 3460, 3463, 3464, 3469, 3498, 3505, 3508, 3509, 3521, 3525, 3527, 3528, 3534, 3546, 3547, 3565, 3566, 3577, 3582, 3585, 3587, 3604, 3605, 3620, 3622, 3638, 3640, 3643, 3648, 3651, 3657, 3658, 3660, 3661, 3662, 3665, 3666, 3671, 3672, 3678, 3684, 3687, 3690, 3697, 3698, 3707, 3709, 3712, 3715, 3719, 3721, 3733, 3738, 3740, 3753, 3778, 3783, 3784, 3786, 3813, 3818, 3825, 3831, 3843, 3847, 3871, 3873, 3883, 3891, 3894, 3897, 3902, 3920, 3930, 3939, 3940, 3966, 3967, 3969, 3970, 3984, 3989, 3995, 4000, 4008, 4017, 4020, 4023, 4030, 4050, 4070, 4076, 4078, 4079, 4088, 4095, 4097, 4102, 4103, 4106, 4117, 4118, 4140, 4147, 4155, 4163, 4166, 4167, 4169, 4171, 4174, 4177, 4180, 4182, 4200, 4201, 4202, 4203, 4209, 4219, 4223, 4234, 4245, 4255, 4256, 4260, 4264, 4265, 4274, 4284, 4287, 4289, 4294, 4300, 4301, 4306, 4310, 4317, 4328, 4375, 4378, 4380, 4385, 4399, 4407, 4409, 4411, 4428, 4431, 4440, 4452, 4455, 4460, 4464, 4476, 4486, 4488, 4505, 4506, 4513, 4521, 4522, 4528, 4540, 4545, 4552, 4566, 4587, 4595, 4619, 4627, 4628, 4631, 4638, 4641, 4644, 4648, 4649, 4652, 4664, 4669, 4670, 4671, 4678, 4690, 4708, 4709, 4710, 4718, 4776, 4803, 4804, 4810, 4816, 4817, 4821, 4822, 4826, 4834, 4835, 4837, 4840, 4842, 4861, 4862, 4867, 4868, 4872, 4890, 4913, 4918, 4924, 4926, 4927, 4928, 4938, 4946, 4962, 4971, 4976, 4980, 4983, 4990, 4995, 4999, 5002, 5013, 5016, 5017, 5027, 5044]"
9,"[516, 538, 787, 810, 922, 1057, 1284, 1382, 1592, 1649, 1658, 1757, 2075, 2182, 2233, 2278, 2355, 2647, 3271, 3603, 3693, 3717, 3842]"
